"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"VESTNIK MOSKOVSKOGO UNIVERSITETA. SER. 15 VYCHISLITEL'NAYA MATEMATIKA I KIBERNETIKA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 15: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА И КИБЕРНЕТИКА"	"0137-0782"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 16: БИОЛОГИЯ"	"0137-0952"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 17: ПОЧВОВЕДЕНИЕ"	"0137-0944"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 19: ЛИНГВИСТИКА И МЕЖКУЛЬТУРНАЯ КОММУНИКАЦИЯ"	"2074-1588"	"RUS"
"VESTNIK MOSKOVSKOGO UNIVERSITETA. SER. 1 MATEMATIKA MEKHANIKA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 1: МАТЕМАТИКА. МЕХАНИКА"	"0579-9368"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 23: АНТРОПОЛОГИЯ"	"2074-8132"	"RUS"
"VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 2 KHIMIYA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 2: ХИМИЯ"	"0579-9384|1728-2101"	"RUS|ENG"
"VESTNIK MOSKOVSKOGO UNIVERSITA. SER. 3 FIZIKA ASTRONOMIYA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 3: ФИЗИКА. АСТРОНОМИЯ"	"0579-9392"	"RUS"
"VESTNIK - MOSKVOSKOGO UNIVERSITETA, SERIYA GEOLOGIYA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 4: ГЕОЛОГИЯ"	"0579-9406"	"RUS"
"VESTNIK MOSKOVSKOGO UNVIERSITETA, SERIYA GEOGRAFIYA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 5: ГЕОГРАФИЯ"	"0579-9414"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 6: ЭКОНОМИКА"	"0130-0105"	"RUS"
"VESTNIK MOSKOVSKOGO UNIVERSITETA, SERIYA GEOGRAFIYA|ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 7: ФИЛОСОФИЯ"	"0201-7385"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 8: ИСТОРИЯ"	"0130-0083"	"RUS"
"ВЕСТНИК МОСКОВСКОГО УНИВЕРСИТЕТА. СЕРИЯ 9: ФИЛОЛОГИЯ"	"0130-0075"	"RUS"
"ВЕСТНИК НАЦИОНАЛЬНОГО МЕДИКО - ХИРУРГИЧЕСКОГО ЦЕНТРА ИМ. Н.И. ПИРОГОВА"	"2072-8255|2782-3628"	"RUS"
"ВЕСТНИК НГАУ (НОВОСИБИРСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ)"	"2072-6724"	"RUS"
"ВЕСТНИК НЕВРОЛОГИИ, ПСИХИАТРИИ И НЕЙРОХИРУРГИИ"	"2074-6822"	"RUS"
"VESTNIK NOVOSIBIRSKOGO GOSUDARSTVENNOGO UNIVERSITETA, SERIYA: ISTORIYA, FILOLOGIYA|ВЕСТНИК НОВОСИБИРСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: ИСТОРИЯ, ФИЛОЛОГИЯ"	"1818-7919"	"RUS"
"ВЕСТНИК НОВОСИБИРСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: ЛИНГВИСТИКА И МЕЖКУЛЬТУРНАЯ КОММУНИКАЦИЯ"	"1818-7935"	"RUS"
"ВЕСТНИК ОМСКОГО УНИВЕРСИТЕТА. СЕРИЯ: ИСТОРИЧЕСКИЕ НАУКИ"	"2312-1300"	"RUS"
"VESTNIK OTORINOLARINGOLOGII|ВЕСТНИК ОТОРИНОЛАРИНГОЛОГИИ"	"0042-4668|2309-1274"	"RUS"
"VESTNIK OFTALMOLOGII|ВЕСТНИК ОФТАЛЬМОЛОГИИ"	"0042-465X|2309-1282"	"RUS"
"PNRPU MECHANICS BULLETIN|ВЕСТНИК ПЕРМСКОГО НАЦИОНАЛЬНОГО ИССЛЕДОВАТЕЛЬСКОГО ПОЛИТЕХНИЧЕСКОГО УНИВЕРСИТЕТА. МЕХАНИКА"	"2224-9893|2226-1869"	"ENG|RUS"
"VESTNIK PERMSKOGO UNIVERSITETA - ISTORIYA - PERM UNIVERSITY HERALD - HISTORY|ВЕСТНИК ПЕРМСКОГО УНИВЕРСИТЕТА. ИСТОРИЯ"	"2219-3111"	"RUS"
"ВЕСТНИК ПЕРМСКОГО УНИВЕРСИТЕТА. ПОЛИТОЛОГИЯ"	"2218-1067"	"RUS"
"VESTNIK PERMSKOGO UNIVERSITETA - JURIDICHESKIE NAUKI|ВЕСТНИК ПЕРМСКОГО УНИВЕРСИТЕТА. ЮРИДИЧЕСКИЕ НАУКИ"	"1995-4190"	"MUL|RUS"
"VESTNIK PRAVOSLAVNOGO SVYATO - TIKHONOVSKOGO GUMANITARNOGO UNIVERSITETA - SERIYA I - BOGOSLOVIE - FILOSOFIYA - RELIGIOVEDENIE|ВЕСТНИК ПРАВОСЛАВНОГО СВЯТО - ТИХОНОВСКОГО ГУМАНИТАРНОГО УНИВЕРСИТЕТА. СЕРИЯ 1: БОГОСЛОВИЕ. ФИЛОСОФИЯ. РЕЛИГИОВЕДЕНИЕ"	"1991-640X|2409-4692"	"RUS"
"ВЕСТНИК ПРАВОСЛАВНОГО СВЯТО - ТИХОНОВСКОГО ГУМАНИТАРНОГО УНИВЕРСИТЕТА. СЕРИЯ 2: ИСТОРИЯ. ИСТОРИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ"	"1991-6434|2409-4811"	"RUS"
"ВЕСТНИК ПРАВОСЛАВНОГО СВЯТО - ТИХОНОВСКОГО ГУМАНИТАРНОГО УНИВЕРСИТЕТА. СЕРИЯ 3: ФИЛОЛОГИЯ"	"1991-6485|2409-4897"	"RUS"
"VESTNIK RENTGENOLOGII I RADIOLOGII|ВЕСТНИК РЕНТГЕНОЛОГИИ И РАДИОЛОГИИ"	"0042-4676|2619-0478"	"RUS"
"ВЕСТНИК РОССИЙСКИХ УНИВЕРСИТЕТОВ. МАТЕМАТИКА"	"2686-9667|2782-3342"	"RUS"
"ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: АГРОНОМИЯ И ЖИВОТНОВОДСТВО"	"2312-797X|2312-7988"	"RUS"
"RUDN JOURNAL OF RUSSIAN HISTORY|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ИСТОРИЯ РОССИИ"	"2312-8674|2312-8690"	"RUS"
"VESTNIK RUDN. INTERNATIONAL RELATIONS|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: МЕЖДУНАРОДНЫЕ ОТНОШЕНИЯ"	"2313-0660|2313-0679"	"ENG|RUS"
"ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ПОЛИТОЛОГИЯ"	"2313-1438|2313-1446"	"RUS"
"ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ПСИХОЛОГИЯ И ПЕДАГОГИКА"	"2313-1683|2313-1705"	"RUS"
"RUDN JOURNAL OF SOCIOLOGY - VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV SERIYA SOTSIOLOGIYA|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: СОЦИОЛОГИЯ"	"2313-2272|2408-8897"	"ENG|RUS"
"RUDN JOURNAL OF LANGUAGE STUDIES, SEMIOTICS AND SEMANTICS|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ТЕОРИЯ ЯЗЫКА. СЕМИОТИКА. СЕМАНТИКА"	"2313-2299|2411-1236"	"RUS"
"RUDN JOURNAL OF PHILOSOPHY|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ФИЛОСОФИЯ"	"2313-2302|2408-8900"	"ENG|RUS"
"ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ЮРИДИЧЕСКИЕ НАУКИ"	"2313-2337|2408-9001"	"RUS"
"ВЕСТНИК РОССИЙСКОГО ФОНДА ФУНДАМЕНТАЛЬНЫХ ИССЛЕДОВАНИЙ. ГУМАНИТАРНЫЕ И ОБЩЕСТВЕННЫЕ НАУКИ"	"2587-6090|2587-8956"	"RUS"
"VESTNIK ROSSIISKOI AKADEMII MEDITSINSKIKH NAUK|ВЕСТНИК РОССИЙСКОЙ АКАДЕМИИ МЕДИЦИНСКИХ НАУК"	"0869-6047|2414-3545"	"ENG|RUS"
"VESTNIK ROSSIJKOJ AKADEMII NAUK|ВЕСТНИК РОССИЙСКОЙ АКАДЕМИИ НАУК"	"0869-5873"	"RUS"
"ВЕСТНИК РОССИЙСКОЙ ВОЕННО - МЕДИЦИНСКОЙ АКАДЕМИИ"	"1682-7392|2687-1424"	"RUS"
"ВЕСТНИК РОССИЙСКОЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ НАУКИ"	"2500-2082"	"RUS"
"VESTNIK SAMARSKOGO GOSUDARSTVENNOGO TEKHNICHESKOGO UNIVERSITETA - SERIYA - FIZIKO - MATEMATICHESKIYE NAUKI|ВЕСТНИК САМАРСКОГО ГОСУДАРСТВЕННОГО ТЕХНИЧЕСКОГО УНИВЕРСИТЕТА. СЕРИЯ: ФИЗИКО - МАТЕМАТИЧЕСКИЕ НАУКИ"	"1991-8615|2310-7081"	"ENG|RUS"
"ВЕСТНИК САМАРСКОГО УНИВЕРСИТЕТА. АЭРОКОСМИЧЕСКАЯ ТЕХНИКА, ТЕХНОЛОГИИ И МАШИНОСТРОЕНИЕ"	"2541-7533|2542-0453"	"RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA VOSTOKOVEDENIE I AFRIKANISTIKA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ВОСТОКОВЕДЕНИЕ И АФРИКАНИСТИКА"	"2074-1227|2587-5892"	"BOS|RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA, ISKUSSTVOVEDENIE|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ИСКУССТВОВЕДЕНИЕ"	"2221-3007|2542-2243"	"MUL|RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA, ISTORIYA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ИСТОРИЯ"	"2541-9390|1812-9323"	"MUL|RUS"
"VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA. SER 1. MATEMATIKA MEKHANIKA ASTRONOMIYA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. МАТЕМАТИКА. МЕХАНИКА. АСТРОНОМИЯ"	"1025-3106|2587-5884"	"RUS"
"ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. МЕДИЦИНА"	"1818-2909|2587-5876"	"RUS"
"ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. МЕНЕДЖМЕНТ"	"1605-7953|2587-5868"	"RUS"
"VESTNIK OF SAINT PETERSBURG UNIVERSITY. EARTH SCIENCES|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. НАУКИ О ЗЕМЛЕ"	"2541-9668|2587-585X"	"MUL|RUS"
"VESTNIK OF SAINT PETERSBURG UNIVERSITY - LAW - VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA - PRAVO|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ПРАВО"	"2074-1243|2587-5833"	"ENG|MUL|RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA SERIYA 10 PRIKLADNAYA MATEMATIKA INFORMATIKA PROTSESSY UPRAVLENIYA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ПРИКЛАДНАЯ МАТЕМАТИКА. ИНФОРМАТИКА. ПРОЦЕССЫ УПРАВЛЕНИЯ"	"1811-9905|2542-2251"	"MUL|RUS"
"ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ПСИХОЛОГИЯ"	"2587-5817|2658-3607"	"RUS"
"ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. СОЦИОЛОГИЯ"	"2541-9374|2587-5809"	"RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA - FILOSOFIYA I KONFLIKTOLOGIYA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ФИЛОСОФИЯ И КОНФЛИКТОЛОГИЯ"	"2541-9382|2542-2278"	"MUL|RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA - EKONOMIKA - ST PETERSBURG UNIVERSITY JOURNAL OF ECONOMIC STUDIES|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ЭКОНОМИКА"	"1026-356X|2542-226X"	"ENG|MUL|RUS"
"VESTNIK SANKT - PETERBURGSKOGO UNIVERSITETA, YAZYK I LITERATURA|ВЕСТНИК САНКТ - ПЕТЕРБУРГСКОГО УНИВЕРСИТЕТА. ЯЗЫК И ЛИТЕРАТУРА"	"2541-9358|2541-9366"	"MUL|RUS"
"ВЕСТНИК СГУГИТ (СИБИРСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА ГЕОСИСТЕМ И ТЕХНОЛОГИЙ)"	"2411-1759"	"RUS"
"ВЕСТНИК СЕВЕРО - ЗАПАДНОГО ГОСУДАРСТВЕННОГО МЕДИЦИНСКОГО УНИВЕРСИТЕТА ИМ. И.И. МЕЧНИКОВА"	"2618-7116|2618-9704"	"RUS"
"VESTNIK SLAVIANSKIKH KULTUR - BULLETIN OF SLAVIC CULTURES - SCIENTIFIC AND INFORMATIONAL JOURNAL|ВЕСТНИК СЛАВЯНСКИХ КУЛЬТУР"	"2073-9567"	"MUL|RUS"
"VESTNIK SOVREMENNOI KLINICHESKOI MEDICINY|ВЕСТНИК СОВРЕМЕННОЙ КЛИНИЧЕСКОЙ МЕДИЦИНЫ"	"2071-0240|2079-553X"	"ENG|RUS"
"TOMSK STATE UNIVERSITY JOURNAL|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА"	"1561-7793|1561-803X"	"RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA, BIOLOGIYA|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. БИОЛОГИЯ"	"1998-8591|2311-2077"	"ENG|RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA ISTORIYA - TOMSK STATE UNIVERSITY JOURNAL OF HISTORY|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. ИСТОРИЯ"	"1998-8613|2311-2387"	"RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA - KULTUROLOGIYA I ISKUSSTVOVEDENIE - TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. КУЛЬТУРОЛОГИЯ И ИСКУССТВОВЕДЕНИЕ"	"2222-0836|2311-3685"	"MUL|RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA - MATEMATIKA I MEKHANIKA - TOMSK STATE UNIVERSITY JOURNAL OF MATHEMATICS AND MECHANICS|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. МАТЕМАТИКА И МЕХАНИКА"	"1998-8621|2311-2255"	"RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA - PRAVO - TOMSK STATE UNIVERSITY JOURNAL OF LAW|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. ПРАВО"	"2225-3513|2311-3693"	"ENG|RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA - UPRAVLENIE VYCHISLITELNAJA TEHNIKA I INFORMATIKA - TOMSK STATE UNIVERSITY JOURNAL OF CONTROL AND COMPUTER SCIENCE|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. УПРАВЛЕНИЕ, ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА И ИНФОРМАТИКА"	"1998-8605|2311-2085"	"ENG|RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA - TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. ФИЛОЛОГИЯ"	"1998-6645|2310-5046"	"RUS"
"VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA - FILOSOFIYA - SOTSIOLOGIYA - POLITOLOGIYA - TOMSK STATE UNIVERSITY JOURNAL OF PHILOSOPHY SOCIOLOGY AND POLITICAL SCIENCE|ВЕСТНИК ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. ФИЛОСОФИЯ. СОЦИОЛОГИЯ. ПОЛИТОЛОГИЯ"	"1998-863X|2311-2395"	"MUL|RUS"
"ВЕСТНИК ТРАВМАТОЛОГИИ И ОРТОПЕДИИ ИМ. Н.Н. ПРИОРОВА"	"0869-8678"	"RUS"
"VESTNIK TRANSPLANTOLOGII I ISKUSSTVENNYKH ORGANOV|ВЕСТНИК ТРАНСПЛАНТОЛОГИИ И ИСКУССТВЕННЫХ ОРГАНОВ"	"1995-1191|2412-6160"	"RUS"
"VESTNIK UGROVEDENIYA - BULLETIN OF UGRIC STUDIES|ВЕСТНИК УГРОВЕДЕНИЯ"	"2220-4156|2587-9766"	"MUL|RUS"
"VESTNIK UDMURTSKOGO UNIVERSITETA: MATEMATIKA, MEKHANIKA, KOMP'YUTERNYE NAUKI|ВЕСТНИК УДМУРТСКОГО УНИВЕРСИТЕТА. МАТЕМАТИКА. МЕХАНИКА. КОМПЬЮТЕРНЫЕ НАУКИ"	"1994-9197|2076-5959"	"ENG|RUS"
"ВЕСТНИК УЛЬЯНОВСКОЙ ГОСУДАРСТВЕННОЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ АКАДЕМИИ"	"1816-4501"	"RUS"
"ВЕСТНИК УРОЛОГИИ"	"2308-6424"	"RUS"
"GREKOV'S BULLETIN OF SURGERY|ВЕСТНИК ХИРУРГИИ ИМ. И.И. ГРЕКОВА"	"2686-7370|0042-4625"	"RUS"
"ВЕСТНИК ЭКОНОМИЧЕСКОГО ПРАВОСУДИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"	"2500-2643"	"RUS"
"ВЕСТНИК ЮЖНО - УРАЛЬСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА И ИНФОРМАТИКА"	"2305-9052|2410-7034"	"RUS"
"ВЕСТНИК ЮЖНО - УРАЛЬСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: МАТЕМАТИКА. МЕХАНИКА. ФИЗИКА"	"2075-809X|2409-6547"	"RUS"
"BULLETIN OF THE SOUTH URAL STATE UNIVERSITY, SERIES: MATHEMATICAL MODELLING, PROGRAMMING AND COMPUTER SOFTWARE|ВЕСТНИК ЮЖНО - УРАЛЬСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ И ПРОГРАММИРОВАНИЕ"	"2071-0216|2308-0256"	"ENG|RUS"
"ВЕСТНИК ЮЖНО - УРАЛЬСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА. СЕРИЯ: ЭНЕРГЕТИКА"	"1990-8512|2409-1057"	"RUS"
"ВЕТЕРИНАРИЯ"	"0042-4846"	"RUS"
"ВЕТЕРИНАРИЯ И КОРМЛЕНИЕ"	"1814-9588"	"RUS"
"ВЕТЕРИНАРИЯ КУБАНИ"	"2071-8020"	"RUS"
"ВЕТЕРИНАРИЯ СЕГОДНЯ"	"2304-196X|2658-6959"	"RUS"
"VIZANTIISKII VREMENNIK|ВИЗАНТИЙСКИЙ ВРЕМЕННИК"	"0132-3776"	"RUS"
"HIV INFECTION AND IMMUNOSUPPRESSIVE DISORDERS|ВИЧ - ИНФЕКЦИЯ И ИММУНОСУПРЕССИИ"	"2077-9828|2078-1792"	"ENG|RUS"
"VLADIKAVKAZ MATHEMATICAL JOURNAL|ВЛАДИКАВКАЗСКИЙ МАТЕМАТИЧЕСКИЙ ЖУРНАЛ"	"1683-3414|1814-0807"	"ENG|RUS"
"ВОДНЫЕ РЕСУРСЫ"	"0321-0596"	"RUS"
"VOENNO-ISTORICHESKII ZHURNAL|ВОЕННО - ИСТОРИЧЕСКИЙ ЖУРНАЛ"	"0321-0626"	"RUS"
"VOENNO-MEDITSINSKII ZHURNAL|ВОЕННО - МЕДИЦИНСКИЙ ЖУРНАЛ"	"0026-9050"	"RUS"
"PROBLEMS OF ATOMIC SCIENCE AND TECHNOLOGY, SERIES THERMONUCLEAR FUSION|ВОПРОСЫ АТОМНОЙ НАУКИ И ТЕХНИКИ. СЕРИЯ: ТЕРМОЯДЕРНЫЙ СИНТЕЗ"	"0202-3822"	"RUS"
"ВОПРОСЫ БИОЛОГИЧЕСКОЙ, МЕДИЦИНСКОЙ И ФАРМАЦЕВТИЧЕСКОЙ ХИМИИ"	"1560-9596|2587-7313"	"RUS"
"VOPROSY VIRUSOLOGII|ВОПРОСЫ ВИРУСОЛОГИИ"	"2411-2097|0507-4088"	"RUS"
"PEDIATRIC HEMATOLOGY/ONCOLOGY AND IMMUNOPATHOLOGY|ВОПРОСЫ ГЕМАТОЛОГИИ/ОНКОЛОГИИ И ИММУНОПАТОЛОГИИ В ПЕДИАТРИИ"	"1726-1708"	"ENG|RUS"
"VOPROSY GINEKOLOGII, AKUSHERSTVA I PERINATOLOGII|ВОПРОСЫ ГИНЕКОЛОГИИ, АКУШЕРСТВА И ПЕРИНАТОЛОГИИ"	"1726-1678|2414-9152"	"RUS"
"VOPROSY GOSUDARSTVENNOGO I MUNITSIPALNOGO UPRAVLENIYA - PUBLIC ADMINISTRATION ISSUES|ВОПРОСЫ ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УПРАВЛЕНИЯ"	"2409-5095|1999-5431"	"MUL|RUS"
"VOPROSY DETSKOI DIETOLOGII|ВОПРОСЫ ДЕТСКОЙ ДИЕТОЛОГИИ"	"1727-5784|2414-9519"	"RUS"
"ВОПРОСЫ ДИЕТОЛОГИИ"	"2224-5448|2414-9004"	"RUS"
"ВОПРОСЫ ИНЖЕНЕРНОЙ СЕЙСМОЛОГИИ"	"0132-2826|2311-9586"	"RUS"
"VOPROSY ISTORII|ВОПРОСЫ ИСТОРИИ"	"0042-8779|1938-2561"	"RUS"
"VOPROSY ISTORII ESTESTVOZNANIIA I TEKHNIKI (INSTITUT ISTORII ESTESTVOZNANIIA I TEKHNIKI (AKADEMIIA NAUK SSSR))|ВОПРОСЫ ИСТОРИИ ЕСТЕСТВОЗНАНИЯ И ТЕХНИКИ"	"0205-9606"	"RUS"
"ВОПРОСЫ ИХТИОЛОГИИ"	"0042-8752"	"RUS"
"ВОПРОСЫ КИБЕРБЕЗОПАСНОСТИ"	"2311-3456"	"RUS"
"VOPROSY KOGNITIVNOY LINGVISTIKI|ВОПРОСЫ КОГНИТИВНОЙ ЛИНГВИСТИКИ"	"1812-3228"	"ENG|RUS"
"VOPROSY KURORTOLOGII, FIZIOTERAPII, I LECHEBNOI FIZICHESKOI KULTURY|ВОПРОСЫ КУРОРТОЛОГИИ, ФИЗИОТЕРАПИИ И ЛЕЧЕБНОЙ ФИЗИЧЕСКОЙ КУЛЬТУРЫ"	"0042-8787|2309-1355"	"ENG|RUS"
"VOPROSY LEKSIKOGRAFII - RUSSIAN JOURNAL OF LEXICOGRAPHY|ВОПРОСЫ ЛЕКСИКОГРАФИИ"	"2227-4200|2311-3758"	"RUS"
"VOPROSY LITERATURY|ВОПРОСЫ ЛИТЕРАТУРЫ"	"0042-8795"	"RUS"
"ВОПРОСЫ МАТЕРИАЛОВЕДЕНИЯ"	"1994-6716"	"RUS"
"ВОПРОСЫ НАРКОЛОГИИ"	"0234-0623"	"RUS"
"ZHURNAL VOPROSY NEJROKHIRURGII IMENI N.N. BURDENKO|ВОПРОСЫ НЕЙРОХИРУРГИИ ИМ. Н.Н. БУРДЕНКО"	"2309-1681|0042-8817"	"RUS"
"VOPROSY OBRAZOVANIYA / EDUCATIONAL STUDIES MOSCOW|ВОПРОСЫ ОБРАЗОВАНИЯ"	"2412-4354|1814-9545"	"ENG|MUL|RUS"
"VOPROSY ONKOLOGII|ВОПРОСЫ ОНКОЛОГИИ"	"0507-3758"	"RUS"
"VOPROSY ONOMASTIKI - PROBLEMS OF ONOMASTICS|ВОПРОСЫ ОНОМАСТИКИ"	"1994-2400|1994-2451"	"ENG|FRE|GER|RUS"
"VOPROSY PITANIIA|ВОПРОСЫ ПИТАНИЯ"	"2658-7440|0042-8833"	"RUS"
"VOPROSY PRAKTICHESKOI PEDIATRII|ВОПРОСЫ ПРАКТИЧЕСКОЙ ПЕДИАТРИИ"	"1817-7646|2414-9705"	"RUS"
"VOPROSY PSIKHOLOGII|ВОПРОСЫ ПСИХОЛОГИИ"	"0042-8841"	"RUS"
"VOPROSY SOVREMENNOI PEDIATRII - CURRENT PEDIATRICS|ВОПРОСЫ СОВРЕМЕННОЙ ПЕДИАТРИИ"	"1682-5527|1682-5535"	"ENG|RUS"
"VOPROSY STATISTIKI (MOSCOW, RUSSIA : 1994)|ВОПРОСЫ СТАТИСТИКИ"	"2313-6383|2658-5499"	"RUS"
"THEORETICAL AND PRACTICAL ISSUES OF JOURNALISM|ВОПРОСЫ ТЕОРИИ И ПРАКТИКИ ЖУРНАЛИСТИКИ"	"2308-6203|2308-6211"	"RUS"
"VOPROSY FILOSOFII|ВОПРОСЫ ФИЛОСОФИИ"	"0042-8744"	"RUS"
